Category,Purch Date,Model #,PO #,Serial #,War Exp,Vendor,Mfr,Invoice,Price,Qty,Comments
Laundry/Washers/Dryers,02/05/18,GTX33GASK0WW,,AL821096C,,HOME DEPOT,,4891-H0974-46712,,1,Dryer-INTL 02/22/18 GA10 Transfer to STOCK *still in stock 9/4/25
"AC, HVAC",08/05/20,AC WNDW BRACKET,PO 2816,,,HOME DEPOT,,4891-H0969-113831,53.29,1,AC BRACKET (BACK-UP WINDOW UNIT)
Laundry/Washers/Dryers,12/14/20,GEARCASE,PO 2865,,,ALL BRAND SPPL,,1790966,263.06,1,GEARCASE-for washing machine that was taken out of 4bove to fix - now in STOCK
"AC, HVAC",07/27/22,AC WNDW UNIT,,340E79910041B1002V0008,,HD SUPPLY,,9205135025,500.07,1,AC Window unit (Multi Use)
"Elec, Rhood, Fire Equip",03/13/23,FIRE EXTINGUISHER,PO 3135,,,HOME DEPOT,,4891-H0969-181676,49.97,3,FIRE EXTINGUISHER (4)(5)(6)
"Elec, Rhood, Fire Equip",03/14/23,FIRE EXTINGUISHER,PO 3136,,,HOME DEPOT,,4891-H0920-292118,89.97,2,FIRE EXTINGUISHER (1)(2)
"Elec, Rhood, Fire Equip",03/14/23,FIRE EXTINGUISHER,PO 3136,,,HOME DEPOT,,4891-H0920-292118,49.97,3,FIRE EXTINGUISHER (1)(2)(3)
"Elec, Rhood, Fire Equip",05/01/23,LIGHT FIXTURE,PO 3153,,,HD SUPPLY,,9213813664,158.27,6,LIGHT FIXTURE OUTDOOR LED
Refrigerator,05/17/23,Ice Maker,PO 3168,,,HD SUPPLY,,9214462886,118.69,1,Ice Maker
PLUMBING,06/05/23,SHOWER HEAD & TUB SPOUT,PO 3174,,,FERGUSON ENTERPRISES,,9209299,169.47,1,SHOWER HEAD & TUB SPOUT
"Elec, Rhood, Fire Equip",07/14/23,Ceiling Fan,PO 3188,,,HD SUPPLY,,9216320284,90.47,1,ceiling fan
PLUMBING,01/10/24,SINK,PO 3292,,,HD SUPPLY,,9222167513,73.03,1,"19"" RND LAV SINK"
PLUMBING,03/26/24,BATH WASTE DRAIN,PO 3348,,,HOME DEPOT,,4891-H0920-348094,40.49,1,bath waste and drain
PLUMBING,04/01/24,TOILET,PO 3353,,,HOME DEPOT,,4891-H0969-212276,169.53,1,TOILET
PLUMBING,05/08/24,KITCHEN FAUCET,PO 3374,,,HD SUPPLY,,9225734399,108.02,1,KITCHEN FAUCET W/ SPRY
Window/Glass/Screen,05/09/24,SCREEN DOOR,PO 3375,,,HD SUPPLY,,9225791125,65.37,3,SCREEN DOOR
Window/Glass/Screen,05/09/24,SCREEN DOOR,PO 3375,,,HD SUPPLY,,9225791125,65.37,1,SCREEN DOOR -OV27 INSTALLED ******
Range/Oven/Cooktop,05/13/24,THERMOSTAT ASSEM,PO 3298,,,Marcone Apw Llc,,91124981,157.57,2,THERMOSTAT ASSEMBLY
Laundry/Washers/Dryers,05/14/24,WASHER OUTLET BOX,PO 3380,,,HOME DEPOT,,4891-2523103,53.85,2,WASHING MACHINE OUTLET BOX
PLUMBING,06/06/24,Moen H/C VLV CRTRG,PO 3409,,,HD SUPPLY,,9226587181,58.04,1,Moen Posi-Temp H/C Valve cartridge
"AC, HVAC",06/14/24,COND PUMP,PO 3416,,,FERGUSON - HDDN,,1048375,72.31,1,CONDENSATE PUMP *install in 5BOVE need alternative unit?
"AC, HVAC",06/25/24,COND PUMP,PO 3423,,,FERGUSON - HDDN,,1100283,72.31,1,CONDENSATE PUMP
"Elec, Rhood, Fire Equip",07/05/24,SMOKE ALARM,PO 3437,,,HOME DEPOT,,4891-H0920-366363,64.90,1,SMOKE ALARM HARDWIRE 4PK (using usually for LAKE)
Boiler/HW Heater,07/09/24,HWH SENSOR,PO 3438,,,HD SUPPLY,,9227571991,76.76,1,WATER HEATER SENSOR
Boiler/HW Heater,07/09/24,FLAME SENSOR,PO 3439,,,FERGUSON - HDDN,,1169806,74.37,1,FLAME SENSOR
"Elec, Rhood, Fire Equip",07/23/24,CHANDELIER,PO 3454,,,HD SUPPLY,,9228057246,82.71,1,3-light indoor chandelier
Floors,07/25/24,VINYL TILE FLOORING,PO 3460,,,HOME DEPOT,,4891-H0920-369559,691.74,1,VINYL TILE FLOORING (14BX)
"AC, HVAC",08/20/24,COND MOTOR,PO 3472,,,Johnstone Sppl - Kenilworth,,S6243819.001,273.08,2,COND MOTOR
Dishwasher,09/08/24,DSHW TIMER,PO 3479,,,Marcone Apw Llc,GEH,58560385,97.57,1,TIMER WD21X33640 FOR DSHW
PLUMBING,09/18/24,KITCHEN FAUCET,PO 3492,,,HOME DEPOT,,4891-H0920-378741,97.01,1,KITCHEN FAUCET W/ SPRY
PLUMBING,09/24/24,KITCHEN FAUCET,PO 3495,,,HD SUPPLY,,9230068648,124.31,1,KITCHEN FAUCET W/ SPRY
Laundry/Washers/Dryers,11/05/24,WASHER OUTLET BOX,PO 3521,,,HOME DEPOT,,4891-H0920-386211,40.38,2,WASHING MACHINE OUTLET BOX
Floors,12/23/24,VINYL TILE FLOORING,PO 3553,,,HOME DEPOT,,4891-H0920-393519,167.80,1,VINYL TILE FLOORING (3-box STOCK)
PLUMBING,01/14/25,Moen H/C VLV CRTRG,PO 3565,,,HD SUPPLY,,9233274176,58.15,3,Moen Posi-Temp H/C Valve cartridge
PLUMBING,01/17/25,Moen H/C VLV CRTRG,PO 3565,,,HD SUPPLY,,9233419895,58.15,3,Moen Posi-Temp H/C Valve cartridge
Range/Oven/Cooktop,02/20/25,THERMOSTAT ASSEM,PO 3598,,,Marcone Apw Llc,,62722772,129.72,1,RANGE THERMOSTAT ASSEM
Boiler/HW Heater,02/20/25,HWH,PO 3597,140863484,,FERGUSON,,2434412,575.00,1,HWH #2 PO 3597
"Elec, Rhood, Fire Equip",04/15/25,THERMOSTAT,PO 3624,,,HOME DEPOT,,4891-H0969-243567,29.02,1,thermostat
PLUMBING,04/24/25,TOILET,PO 3631,,,HOME DEPOT,,4891-7522061,114.20,1,TOILET
MICROWAVE,04/25/25,SWITCH,,,,Marcone Apw Llc,,64334271,25.62,1,SWITCH (MICROWAVE DOOR)
MICROWAVE,04/25/25,SWITCH,,,,Marcone Apw Llc,,64334271,17.85,1,SWITCH (MICROWAVE DOOR)
PLUMBING,04/30/25,BATH FAUCET,PO 3633,,,HD SUPPLY,,9236552100,77.06,3,BATH FAUCET W/POP UP
"AC, HVAC",05/02/25,COND MOTOR,PO 3635,,,Johnstone Sppl - Kenilworth,,S6518988.001,189.07,1,COND MOTOR
"AC, HVAC",05/29/25,COND Unit,PO 3645,,,HD SUPPLY,,9237451436,1079.10,1,Condensing Unit - PO 3645
"AC, HVAC",05/30/25,FURN,PO 3645,,,HD SUPPLY,,9237486197,794.00,1,FURN - PO 3645
"AC, HVAC",05/30/25,COIL,PO 3645,,,HD SUPPLY,,9237486197,424.77,1,COIL - PO 3645
Range/Oven/Cooktop,06/19/25,THERMOSTAT ASSEM,PO 3662,,,Marcone Apw Llc,,65625787,129.72,1,RANGE THERMOSTAT ASSEM
Boiler/HW Heater,06/26/25,EXP TANK,PO 3664,,,HD SUPPLY,,9238359571,43.87,2,expansion tank
"AC, HVAC",06/27/25,COIL,PO 3666,,,HD SUPPLY,,9238397977,440.65,1,COIL PO 3666
PLUMBING,07/03/25,KITCHEN FAUCET,PO 3669,,,HD SUPPLY,,9238582020,137.74,1,KITCHEN FAUCET W/ SPRY
PLUMBING,07/17/25,BATH FAUCET,PO 3685,,,HD SUPPLY,,9239023673,91.19,2,BATH FAUCET W/POP UP
PLUMBING,07/17/25,KITCHEN FAUCET,PO 3685,,,HD SUPPLY,,9239023673,137.74,1,KITCHEN FAUCET W/ SPRY
PLUMBING,07/28/25,SINK,PO 3689,,,HD SUPPLY,,9239364382,58.71,1,"19"" RND LAV SINK"
"Elec, Rhood, Fire Equip",07/28/25,CO DETCTR,PO 3689,,,HD SUPPLY,,9239364382,62.60,1,CO DETCTR
Range/Oven/Cooktop,08/11/25,OVEN IGNITOR,PO 3700,,,Marcone Apw Llc,,66913153,33.85,2,OVEN IGNITOR
"AC, HVAC",08/26/25,SEER,PO 3706,,,HD SUPPLY,,9240379930,1079.10,1,SEER
"Elec, Rhood, Fire Equip",09/27/25,CO DETCTR,PO 3730,,,HOME DEPOT,,4891-H0920-438923,47.47,2,CO DETCTR
PLUMBING,10/03/25,SINK,PO 3734,,,HD SUPPLY,,9241660551,58.71,1,"19"" RND LAV SINK"
Range/Oven/Cooktop,10/14/25,OVEN IGNITOR,PO 3741,,,Marcone Apw Llc,,68535669,33.85,2,OVEN IGNITOR
Boiler/HW Heater,11/04/25,HWH,PO 3761,2528144434171,11/03/31,HD SUPPLY,AO SMITH,9242693900,599.00,1,HWH #3 PO 3761 install in OV39 on 3/11/26*
PLUMBING,11/24/25,BATH FAUCET,PO 3773,,,HD SUPPLY,,9243349089,86.66,3,BATH FAUCET W/POP UP
PLUMBING,11/24/25,KITCHEN FAUCET,PO 3773,,,HD SUPPLY,,9243349089,124.77,1,KITCHEN FAUCET W/ SPRY
PLUMBING,11/24/25,KITCHEN FAUCET,PO 3774,,,HD SUPPLY,,9243349091,123.99,2,KITCHEN FAUCET W/ SPRY
PLUMBING,11/24/25,SINK,PO 3774,,,HD SUPPLY,,9243349091,45.06,1,"19"" RND LAV SINK"
Dishwasher,11/25/25,GDF460PGT6WW,PO 3775,VA767925B,11/24/26,HOME DEPOT,GE,4891-H0920-448993,204.52,1,DISHWASHER PO 3775
"Elec, Rhood, Fire Equip",11/28/25,THERMOSTAT,PO 3778,,,HOME DEPOT,,4891-H0920-449452,46.48,3,THERMOSTAT
"Elec, Rhood, Fire Equip",12/18/25,LED FLUSH MT LIGHT,,,,HOME DEPOT,,4891-H0920-452699,27.48,2,LED FLUSH MT LIGHT
PLUMBING,12/31/25,KITCHEN FAUCET,PO 3792,,,HD SUPPLY,,9244403014,139.39,1,KITCHEN FAUCET W/ SPRY
PLUMBING,12/31/25,KITCHEN FAUCET,PO 3791,,,HD SUPPLY,,9244403013,139.53,2,KITCHEN FAUCET W/ SPRY
"AC, HVAC",01/05/26,CONTROL BOARD,PO 3793,,,Johnstone Sppl - Kenilworth,,S6811219.001,204.28,1,CONTROL BOARD
Laundry/Washers/Dryers,01/14/26,latch,PO 3795,,,Marcone Apw Llc,,70866248,27.84,1,LATCH - *INST in OV44 3/2026 (bought for ST28)
"Elec, Rhood, Fire Equip",01/28/26,CO DETCTR,PO 3801,,,HD SUPPLY,,9245304658,57.55,5,CO DETCTR
"AC, HVAC",02/10/26,AIR PRESSURE SWITCH,PO 3804,,,Johnstone Sppl - Kenilworth,,S6832163.001,57.14,2,AIR PRESSURE SWITCH
"AC, HVAC",02/10/26,CONTROL BOARD,PO 3804,,,Johnstone Sppl - Kenilworth,,S6832163.001,204.28,2,CONTROL BOARD
"AC, HVAC",02/27/26,ignitor,PO 3808,,,Johnstone Sppl - Kenilworth,,S6871019.001,43.88,1,ignitor
"Elec, Rhood, Fire Equip",03/04/26,CO DETCTR,PO 3810,,,HD SUPPLY,,9246538110,56.54,3,CO DETCTR
"Elec, Rhood, Fire Equip",03/09/26,THERMOSTAT,PO 3814,,,HOME DEPOT,,4891-H0920-463478,37.98,2,THERMOSTAT
PLUMBING,03/31/26,KITCHEN FAUCET,PO 3820,,,HD SUPPLY,,9247518099,103.07,2,KITCHEN FAUCET W/ SPRY
PLUMBING,03/31/26,Bathroom Sink,PO 3820,,,HD SUPPLY,,9247518099,46.13,2,Bathroom Sink
PLUMBING,03/31/26,BATH FAUCET,PO 3820,,,HD SUPPLY,,9247518099,79.02,1,BATHROOM FAUCET
PLUMBING,04/14/26,Moen Posi-Temp H/C Valve cartridge,,,,HD SUPPLY,,9248029630,64.14,2,Moen Posi-Temp H/C Valve cartridge
Boiler/HW Heater,04/15/26,GCB-40,,,04/14/32,HD SUPPLY,AO SMITH,9248074679,763.44,1,HWH
